village,state,date,water_source_id,water_source_type,latitude,longitude,pH,turbidity_ntu,bacteria_ecoli_cfu_100ml,bacteria_coliform_cfu_100ml,dissolved_oxygen_mg_l,nitrates_mg_l,phosphates_mg_l,heavy_metals_mg_l,chlorine_residual_mg_l,fluoride_mg_l,arsenic_mg_l,test_method,testing_agency,is_potable,contamination_level,depth_meters
Silchar Village,Assam,2023-06-22,WS_70096,River,23.693604,94.215993,6.81,10.129,56.725,36.0,6.4,21.7,2.63,0.001,0.47,0.06,0.008,Water Testing Kit,Agency_9,0,Safe,
Gangtok Rural,Sikkim,2023-10-16,WS_33410,Well,23.440323,94.097157,6.64,2.836,35.217,79.0,6.6,43.1,1.36,0.046,1.71,0.72,0.032,Water Testing Kit,Agency_5,1,Safe,99.0
Champhai Rural,Mizoram,2023-09-03,WS_48735,Piped Supply,27.307625,92.146045,7.1,3.138,5.618,72.0,8.3,34.7,0.12,0.003,0.85,1.4,0.025,IoT Sensor,Agency_2,1,Safe,
Jorhat Village,Assam,2023-06-23,WS_10948,Piped Supply,24.975629,90.777547,7.46,6.296,56.017,7.0,6.8,19.4,1.86,0.017,1.32,0.84,0.024,Water Testing Kit,Agency_5,0,Safe,
Shillong Rural,Meghalaya,2023-09-04,WS_37634,Tube Well,24.464814,89.42492,7.38,3.235,45.122,64.0,8.3,15.6,0.93,0.029,0.01,1.17,0.027,IoT Sensor,Agency_7,1,Safe,122.0
Belonia Rural,Tripura,2023-12-20,WS_80978,Pond,23.834306,95.652162,5.3,106.341,316.4,2997.0,1.1,119.1,7.77,1.34,1.58,1.29,0.024,IoT Sensor,Agency_8,0,High,
Jorhat Village,Assam,2023-06-26,WS_29292,Tube Well,24.432844,88.617969,7.31,7.926,44.0,34.0,6.0,34.1,1.29,0.046,1.84,1.34,0.02,Lab Analysis,Agency_9,0,Safe,74.0
Belonia Rural,Tripura,2023-07-02,WS_32323,Pond,23.962273,94.506741,5.57,28.417,530.727,903.0,1.7,180.6,10.9,0.62,1.94,1.12,0.043,IoT Sensor,Agency_8,0,High,
Nagaon Rural,Assam,2023-03-12,WS_87454,Tube Well,24.051645,91.510295,7.78,6.857,31.79,86.0,5.4,34.9,0.49,0.011,1.02,0.43,0.009,IoT Sensor,Agency_7,0,Safe,72.0
Resubelpara Rural,Meghalaya,2023-08-04,WS_26061,Piped Supply,24.057131,89.291444,7.27,2.607,43.576,17.0,8.2,7.7,2.31,0.041,0.51,0.58,0.024,Lab Analysis,Agency_8,1,Safe,
Saitual Rural,Mizoram,2023-12-22,WS_69570,Piped Supply,23.056531,95.783103,8.37,6.271,29.792,57.0,8.6,31.2,0.72,0.01,1.28,1.47,0.009,IoT Sensor,Agency_2,0,Safe,
Hnahthial Village,Mizoram,2023-05-17,WS_80628,Well,27.703445,96.977824,8.15,2.656,45.566,25.0,5.6,42.4,1.9,0.005,1.53,1.15,0.035,Water Testing Kit,Agency_6,1,Safe,184.0
Tezpur Village,Arunachal Pradesh,2023-11-19,WS_48268,River,25.819765,92.343439,7.51,7.956,11.192,38.0,7.1,1.1,2.28,0.042,1.23,1.46,0.028,IoT Sensor,Agency_7,0,Safe,
Pasighat Rural,Arunachal Pradesh,2023-06-18,WS_74187,Tube Well,23.775516,93.096367,8.62,0.389,70.06,6.0,7.6,15.6,0.12,0.046,1.05,1.23,0.028,IoT Sensor,Agency_5,1,Safe,141.0
Dharmanagar Rural,Tripura,2023-12-26,WS_69295,River,25.481051,93.332986,6.09,47.203,1051.613,1411.0,1.3,125.1,13.95,1.12,0.65,0.29,0.03,Water Testing Kit,Agency_7,0,High,
Rangpo Rural,Sikkim,2023-09-17,WS_63508,Piped Supply,24.07151,93.013348,7.46,4.361,14.15,5.0,7.4,13.9,1.51,0.048,0.41,0.3,0.031,IoT Sensor,Agency_8,1,Safe,
Itanagar Rural,Arunachal Pradesh,2024-02-15,WS_84309,Well,26.718427,92.090554,7.73,8.15,26.11,51.0,7.3,26.4,1.2,0.008,1.58,0.86,0.017,IoT Sensor,Agency_5,0,Safe,29.0
Serchhip Village,Mizoram,2023-07-26,WS_64811,Well,25.939028,88.276025,7.26,6.415,16.556,0.0,8.9,23.0,0.24,0.005,1.48,1.39,0.05,Water Testing Kit,Agency_7,0,Safe,158.0
Shillong Rural,Meghalaya,2023-08-09,WS_43964,Tube Well,23.785785,88.714095,5.3,82.441,1992.858,238.0,2.3,144.7,19.76,1.9,1.29,0.51,0.016,IoT Sensor,Agency_5,0,High,34.0
Belonia Rural,Tripura,2024-03-25,WS_50258,Well,27.065478,96.546599,6.61,2.231,32.213,97.0,8.9,21.5,2.41,0.028,0.4,1.12,0.011,Water Testing Kit,Agency_8,1,Safe,15.0
Gangtok Rural,Sikkim,2023-07-14,WS_10592,River,26.080598,91.399456,5.3,83.799,1664.136,2876.0,3.5,126.5,14.46,0.68,1.95,1.38,0.038,IoT Sensor,Agency_7,0,High,
Mangan Village,Sikkim,2023-04-07,WS_45938,River,23.240928,95.328533,5.39,34.344,1991.078,3976.0,2.3,79.0,17.6,1.72,1.52,0.75,0.02,Water Testing Kit,Agency_8,0,High,
Rangpo Rural,Sikkim,2023-01-20,WS_63348,Tube Well,24.641781,96.234849,7.11,0.805,56.809,22.0,5.9,26.4,2.95,0.021,1.69,0.13,0.047,IoT Sensor,Agency_9,1,Safe,119.0
Churachandpur Village,Manipur,2024-02-20,WS_12828,Well,24.212273,94.661083,7.74,8.567,15.184,59.0,8.2,32.3,0.95,0.031,0.67,1.43,0.04,Water Testing Kit,Agency_8,0,Safe,126.0
Tawang Rural,Arunachal Pradesh,2023-06-11,WS_74794,Piped Supply,26.979205,96.35885,7.27,6.033,54.216,44.0,7.0,26.2,0.19,0.043,0.0,1.43,0.014,Lab Analysis,Agency_3,0,Safe,
