village,state,district,date,report_time,patient_age_group,patient_gender,diarrhea_cases,fever_cases,vomiting_cases,stomach_pain_cases,dehydration_cases,nausea_cases,headache_cases,weakness_cases,asha_worker_id,clinic_reports,villager_self_reports,total_population,households_affected,severity_level
Roing Village,Arunachal Pradesh,Arunachal Pradesh_District_3,2023-09-27,2023-09-23 14:55:00,0-5,Male,10,7,4,9,6,2,2,6,ASHA_2459,2,4,2829,30,Mild
Namchi Village,Sikkim,Sikkim_District_1,2024-01-27,2023-11-26 19:31:00,0-5,Male,2,5,0,1,0,0,3,2,ASHA_7845,1,6,2285,21,Moderate
Jiribam Village,Manipur,Manipur_District_3,2023-12-09,2023-11-29 16:11:00,0-5,Male,4,9,6,3,4,4,3,4,ASHA_7777,0,0,4910,30,Moderate
Champhai Rural,Mizoram,Mizoram_District_1,2023-11-18,2023-10-28 18:38:00,6-18,Male,5,2,5,1,2,3,2,1,ASHA_1896,4,2,4576,19,Severe
Kiphire Village,Nagaland,Nagaland_District_2,2023-12-19,2023-10-22 16:28:00,0-5,Female,4,1,3,2,1,0,1,1,ASHA_4842,0,0,4616,19,Mild
Wokha Rural,Nagaland,Nagaland_District_1,2023-03-24,2023-02-13 08:09:00,6-18,Female,5,5,3,3,3,2,1,2,ASHA_9529,4,6,2630,24,Mild
Barpeta Village,Assam,Assam_District_2,2023-04-15,2023-04-04 19:11:00,0-5,Male,10,0,5,6,5,1,1,4,ASHA_4941,2,3,4764,24,Moderate
Rangpo Rural,Sikkim,Sikkim_District_1,2023-09-27,2023-06-23 10:16:00,0-5,Male,10,4,0,5,3,0,0,3,ASHA_1845,4,2,1744,26,Moderate
Kolasib Rural,Mizoram,Mizoram_District_1,2023-05-31,2023-05-06 19:28:00,6-18,Female,3,6,4,2,2,1,2,2,ASHA_8521,1,1,3319,22,Mild
Barpeta Village,Assam,Assam_District_2,2023-11-06,2023-07-25 08:07:00,0-5,Male,11,11,12,6,8,5,5,7,ASHA_6362,0,7,4067,43,Mild
Jiribam Village,Manipur,Manipur_District_1,2023-03-09,2023-02-15 16:27:00,0-5,Male,1,0,7,2,1,1,4,0,ASHA_9652,3,4,2251,24,Mild
Jorethang Rural,Sikkim,Sikkim_District_1,2023-06-26,2023-04-25 17:43:00,19-60,Female,4,4,4,1,1,0,4,3,ASHA_1987,2,4,3487,20,Mild
Itanagar Rural,Arunachal Pradesh,Arunachal Pradesh_District_1,2023-05-22,2023-02-24 16:27:00,60+,Female,1,3,4,0,0,2,2,1,ASHA_5155,1,6,745,17,Mild
Kiphire Village,Nagaland,Nagaland_District_2,2023-05-04,2023-03-07 14:21:00,0-5,Female,4,1,6,3,4,3,1,2,ASHA_4022,0,1,2257,17,Mild
Senapati Rural,Manipur,Manipur_District_2,2023-07-29,2023-06-09 15:54:00,19-60,Male,6,2,3,4,4,1,1,4,ASHA_9925,0,1,3678,26,Moderate
Bishnupur Rural,Manipur,Manipur_District_2,2023-10-28,2023-07-30 14:01:00,0-5,Male,9,15,7,4,6,6,8,8,ASHA_7200,3,5,1689,46,Mild
Teliamura Rural,Tripura,Tripura_District_1,2023-07-20,2023-07-18 17:13:00,19-60,Female,3,7,8,1,4,7,3,3,ASHA_7266,3,3,2130,32,Mild
Jowai Rural,Meghalaya,Meghalaya_District_3,2023-08-08,2023-05-01 11:57:00,0-5,Female,0,4,1,0,1,2,3,2,ASHA_6372,2,5,3900,11,Mild
Williamnagar Village,Meghalaya,Meghalaya_District_2,2023-07-03,2023-04-11 07:47:00,0-5,Female,8,6,1,4,3,1,3,4,ASHA_6835,0,2,4104,26,Mild
Jowai Rural,Meghalaya,Meghalaya_District_3,2023-05-05,2023-02-02 19:03:00,0-5,Female,4,8,0,1,1,0,2,2,ASHA_3682,3,1,4952,20,Mild
Lawngtlai Village,Mizoram,Mizoram_District_1,2023-03-11,2023-01-19 18:09:00,19-60,Male,4,7,7,2,3,3,4,2,ASHA_6693,1,1,4302,34,Mild
Lunglei Village,Mizoram,Mizoram_District_2,2024-01-08,2023-11-23 16:19:00,0-5,Male,4,3,1,1,1,1,1,1,ASHA_4311,0,7,1287,17,Moderate
Tawang Rural,Arunachal Pradesh,Arunachal Pradesh_District_1,2023-07-15,2023-05-07 11:20:00,19-60,Female,4,4,1,2,2,1,1,2,ASHA_3430,3,7,2076,19,Mild
Belonia Rural,Tripura,Tripura_District_3,2023-07-01,2023-04-15 19:35:00,19-60,Female,2,3,2,3,2,1,0,1,ASHA_7586,0,4,606,18,Moderate
Kailashahar Village,Tripura,Tripura_District_1,2024-01-02,2023-09-13 09:56:00,6-18,Male,1,5,4,1,2,1,2,2,ASHA_3786,1,3,3127,26,Mild
Bomdila Rural,Arunachal Pradesh,Arunachal Pradesh_District_1,2023-04-18,2023-01-05 06:24:00,19-60,Female,2,2,5,3,2,2,4,2,ASHA_5670,2,5,3126,24,Moderate
